AQI,Humidity,Temperature,Pressure,GasResistance,RSSI,Timestamp,Location
0.0,45.31,25.98,1009.41,198.75,-113,2026-01-21T17:08:10.844807,Block-2
0.0,45.21,26.0,1009.4,198.99,-113,2026-01-21T17:08:15.201639,Block-2
0.0,45.14,26.01,1009.41,198.63,-112,2026-01-21T17:08:19.558689,Block-2
0.0,45.0,26.02,1009.41,200.09,-113,2026-01-21T17:08:23.916033,Block-2
15.22,44.85,26.03,1009.4,200.34,-113,2026-01-21T17:08:28.273304,Block-2
15.22,44.87,26.04,1009.4,194.26,-113,2026-01-21T17:08:32.630883,Block-2
15.22,45.0,26.05,1009.41,199.48,-113,2026-01-21T17:08:36.987803,Block-2
36.96,44.85,26.06,1009.4,200.09,-113,2026-01-21T17:08:41.345140,Block-2
0.0,44.7,26.07,1009.4,200.34,-113,2026-01-21T17:08:45.703045,Block-2
0.0,44.71,26.08,1009.42,198.39,-113,2026-01-21T17:08:50.058570,Block-2
15.22,44.94,26.09,1009.4,196.24,-114,2026-01-21T17:08:54.415922,Block-2
15.22,45.21,26.1,1009.42,196.24,-114,2026-01-21T17:08:58.772756,Block-2
0.0,45.33,26.1,1009.41,195.77,-113,2026-01-21T17:09:03.129906,Block-2
15.22,45.49,26.1,1009.41,196.48,-113,2026-01-21T17:09:07.487541,Block-2
15.22,45.57,26.1,1009.42,197.19,-113,2026-01-21T17:09:11.845112,Block-2
80.43,45.48,26.09,1009.41,198.63,-113,2026-01-21T17:09:16.201825,Block-2
102.17,45.28,26.08,1009.41,199.85,-114,2026-01-21T17:09:20.559353,Block-2
102.17,45.12,26.07,1009.41,199.97,-114,2026-01-21T17:09:24.916821,Block-2
102.17,44.89,26.06,1009.4,200.7,-114,2026-01-21T17:09:29.273225,Block-2
102.17,44.62,26.04,1009.4,201.94,-114,2026-01-21T17:09:33.631520,Block-2
80.43,44.45,26.03,1009.39,202.57,-114,2026-01-21T17:09:37.987087,Block-2
102.17,44.33,26.01,1009.4,202.57,-115,2026-01-21T17:09:42.345659,Block-2
58.7,44.27,26.0,1009.4,203.07,-114,2026-01-21T17:09:46.701903,Block-2
58.7,44.17,25.99,1009.4,203.32,-114,2026-01-21T17:09:51.059709,Block-2
15.22,44.05,25.98,1009.41,204.34,-114,2026-01-21T17:09:55.416175,Block-2
145.65,44.01,25.97,1009.41,203.2,-114,2026-01-21T17:09:59.773615,Block-2
102.17,44.0,25.95,1009.41,203.07,-113,2026-01-21T17:10:04.130872,Block-2
58.7,44.12,25.95,1009.4,202.57,-114,2026-01-21T17:10:08.487353,Block-2
80.43,44.26,25.94,1009.41,201.69,-113,2026-01-21T17:10:12.844884,Block-2
123.91,44.47,25.94,1009.41,201.69,-114,2026-01-21T17:10:17.203010,Block-2
102.17,44.52,25.93,1009.41,202.44,-114,2026-01-21T17:10:21.558577,Block-2
58.7,44.56,25.93,1009.42,203.45,-115,2026-01-21T17:10:25.916697,Block-2
58.7,44.37,25.93,1009.41,202.07,-114,2026-01-21T17:10:30.272817,Block-2
80.43,44.32,25.92,1009.41,202.57,-113,2026-01-21T17:10:34.762443,Block-2
80.43,44.3,25.92,1009.41,203.2,-114,2026-01-21T17:10:39.119969,Block-2
80.43,44.27,25.92,1009.4,200.34,-114,2026-01-21T17:10:43.477206,Block-2
